n_vars,m_clauses,heuristic,status,time
10,10,NV,sat,0.002890
30,30,NV,sat,0.003695
50,50,NV,sat,0.004057
70,70,NV,sat,428.752502
90,90,NV,sat,0.00764

n_vars,m_clauses,heuristic,status,time
10,10,RAN,sat,0.002530
30,30,RAN,sat,0.003506
50,50,RAN,sat,0.003138
70,70,RAN,sat,0.003202
90,90,RAN,sat,0.004391
110,110,RAN,sat,0.004153
130,130,RAN,sat,0.004195
150,150,RAN,sat,0.005530
200,200,RAN,sat,0.007335
500,500,RAN,sat,0.029601
1000,1000,RAN,sat,0.080108
10000,10000,RAN,sat,8.389193
100000,100000,RAN,sat,2202.625920

n_vars,m_clauses,heuristic,status,time
10,10,JW,sat,0.002870
30,30,JW,sat,0.003107
50,50,JW,sat,0.003447
70,70,JW,sat,0.005009
90,90,JW,sat,0.003867
110,110,JW,sat,0.003891
130,130,JW,sat,0.004333
150,150,JW,sat,0.004920
200,200,JW,sat,0.006345
500,500,JW,sat,0.024351
1000,1000,JW,sat,0.099100
10000,10000,JW,sat,10.690827
100000,100000,JW,sat,2138.434866

n_vars,m_clauses,heuristic,status,time
10,100,NV,sat,0.008348
30,300,NV,sat,0.006956
50,500,NV,unsat,65.411422

n_vars,m_clauses,heuristic,status,time
10,100,RAN,sat,0.007013
30,300,RAN,sat,0.008261
50,500,RAN,unsat,0.093928
70,700,RAN,unsat,0.135977
90,900,RAN,unsat,1.204446
110,1100,RAN,unsat,1.417257
130,1300,RAN,unsat,5.076266
150,1500,RAN,unsat,14.405180
200,2000,RAN,unsat,129.892516
500,1000,RAN,sat,0.156278
1000,2000,RAN,sat,0.660097
5000,10000,RAN,sat,25.769554

n_vars,m_clauses,heuristic,status,time
10,100,JW,sat,0.005383
30,300,JW,sat,0.006915
50,500,JW,unsat,0.032569
70,700,JW,unsat,0.120133
90,900,JW,unsat,0.200106
110,1100,JW,unsat,0.556597
130,1300,JW,unsat,0.781353
150,1500,JW,unsat,2.531874
200,2000,JW,unsat,4.127258
500,1000,JW,sat,0.089684
1000,2000,JW,sat,0.401379
5000,10000,JW,sat,18.102062
